,species_name,modern_longitude,modern_latitude,start_year,end_year,ancient_longitude,ancient_latitude
0,Pleuromeia   altinis,112.069,37.595,-251,-247,91.53,33.6
1,Phyllotheca   bella,110.493,19.122,-251,-247,104.85,3.58
2,Phyllotheca   bicruris,113.307,37.455,-251,-247,92.62,33.2
3,Neocalamites   carrerei,104.53299999999999,31.665,-251,-247,92.86,10.27
4,Neocalamites   cf. merianii,82.959,41.716,-251,-247,76.55,35.48
5,Cladophlevis   cf. raciborskii,82.96799999999999,41.723,-251,-247,76.56,35.49
6,Anomopteris   cf.mougeotii,112.21600000000001,34.439,-251,-247,90.68,30.52
7,Annalepis   chudeensis,118.165,40.763000000000005,-251,-247,98.08,35.39
8,Sphenopteris   delabens,113.061,36.961999999999996,-251,-247,92.24,32.78
9,Pleuromeia   epicharis,112.181,35.691,-251,-247,91.03,31.74
10,Pleuromeia   epicharis,111.868,34.748000000000005,-251,-247,90.45,30.9
11,Pleuromeia   epicharis,113.235,37.532,-251,-247,92.58,33.29
12,Schizoneura   gondwanensis,82.959,41.716,-251,-247,76.55,35.48
13,Macrostachya   gracilis,115.979,36.455999999999996,-251,-247,94.75,31.68
