,Phylum,Class,Order,Family,Genus,Species,modern_longitude,modern_latitude,start_year,end_year,ancient_longitude,ancient_latitude,era
70,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites inconstans,119.052,32.177,-237,-201,116.37,41.15,5
71,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites inconstans,113.697,27.571,-237,-174,117.15,37.79,7
72,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites inconstans,101.615,26.571,-237,-201,97.04,35.43,7
73,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites kuzhuensis,113.816,29.701,-237,-201,110.47,38.74,7
74,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites loczyi,105.855,32.493,-237,-201,101.52,41.46,7
75,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites loczyi,108.517,31.366,-237,-201,104.54,40.38,7
76,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites loczyi,108.958,35.301,-237,-201,106.97,48.28,6
77,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites loczyi,111.875,30.893,-237,-201,108.3,39.93,7
78,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites loczyi,112.788,26.48,-237,-201,109.32,35.52,7
79,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites loczyi,113.816,29.701,-237,-201,110.47,38.74,7
80,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites loczyi,117.562,25.403,-237,-201,114.55,34.41,7
81,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites loczyi,101.382,27.037,-237,-201,96.76,35.89,7
82,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites loczyi,101.901,25.159,-237,-201,97.42,34.03,7
83,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites loczyi,103.781,31.106,-237,-201,99.24,40.03,7
84,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites marginatus,107.535,31.166,-237,-201,103.44,40.17,7
85,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites minor,106.697,30.124,-237,-201,102.53,39.11,7
86,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites minor,113.244,23.206,-237,-201,109.81,32.25,6
87,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites minor,114.696,23.746,-237,-201,111.4,32.78,7
88,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites minor,117.599,28.419,-237,-201,114.65,37.42,7
89,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites minor,119.052,32.177,-237,-201,116.37,41.15,6
90,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites minor,131.07,44.173,-237,-201,137.4,51.41,5
91,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites minor,100.268,29.999,-237,-201,81.12,32.72,4
92,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites multinervis,101.692,26.759,-237,-201,97.12,35.62,7
93,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites orientalis,97.018,31.227,-237,-201,77.49,32.9,7
94,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites pachylomus,106.697,30.124,-237,-201,102.53,39.11,7
95,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites pachylomus,101.57,26.56,-237,-201,96.99,35.42,4
96,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites pachylomus,101.665,26.053,-237,-201,97.12,34.91,7
97,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites paucinervis,97.018,31.227,-237,-201,77.49,32.9,7
98,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites pseudomuensterii,113.849,27.626,-237,-174,117.32,37.85,7
99,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites ptilus,106.697,30.124,-237,-201,102.53,39.11,7
100,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites ptilus,101.665,26.053,-237,-201,97.12,34.91,7
101,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites ptilus,101.717,26.586,-237,-201,97.15,35.45,7
102,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites puqiensis,113.816,29.701,-237,-201,110.47,38.74,7
103,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites qamdoensis,97.018,31.227,-237,-201,77.49,32.9,4
104,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites marginatus,97.895,31.159,-237,-201,78.36,33.1,7
105,Gymnospermae,Cycadopsida,Cycadales,F,Anthrophyopsis,Anthrophyopsis cf.crassinervis,101.943,25.166,-237,-201,97.46,34.04,6
106,Gymnospermae,Cycadopsida,Cycadales,F,Anthrophyopsis,Anthrophyopsis crassinervis,105.855,32.493,-237,-201,101.52,41.46,6
107,Gymnospermae,Cycadopsida,Cycadales,F,Anthrophyopsis,Anthrophyopsis crassinervis,112.043,31.134,-237,-201,108.49,40.17,6
108,Gymnospermae,Cycadopsida,Cycadales,F,Anthrophyopsis,Anthrophyopsis crassinervis,113.048,25.215,-237,-201,109.61,34.25,6
109,Gymnospermae,Cycadopsida,Cycadales,F,Anthrophyopsis,Anthrophyopsis crassinervis,113.599,24.686,-237,-201,110.21,33.72,6
110,Gymnospermae,Cycadopsida,Cycadales,F,Anthrophyopsis,Anthrophyopsis crassinervis,113.599,24.686,-237,-201,110.21,33.72,6
111,Gymnospermae,Cycadopsida,Cycadales,F,Anthrophyopsis,Anthrophyopsis crassinervis,113.771,27.997,-237,-201,110.41,37.03,6
112,Gymnospermae,Cycadopsida,Cycadales,F,Anthrophyopsis,Anthrophyopsis crassinervis,113.961,27.63,-237,-201,110.62,36.67,6
113,Gymnospermae,Cycadopsida,Cycadales,F,Anthrophyopsis,Anthrophyopsis crassinervis,113.961,27.63,-237,-201,110.62,36.67,6
114,Gymnospermae,Cycadopsida,Cycadales,F,Anthrophyopsis,Anthrophyopsis crassinervis,116.557,25.274,-237,-201,113.45,34.29,7
115,Gymnospermae,Cycadopsida,Cycadales,F,Anthrophyopsis,Anthrophyopsis crassinervis,116.557,25.274,-237,-201,113.45,34.29,7
116,Gymnospermae,Cycadopsida,Cycadales,F,Anthrophyopsis,Anthrophyopsis crassinervis,101.382,27.037,-237,-201,96.76,35.89,7
117,Gymnospermae,Cycadopsida,Cycadales,F,Anthrophyopsis,Anthrophyopsis crassinervis,103.519,30.59,-237,-201,98.97,39.5,7
118,Gymnospermae,Cycadopsida,Cycadales,F,Anthrophyopsis,Anthrophyopsis leeana,105.637,32.389,-237,-201,101.28,41.35,7
119,Gymnospermae,Cycadopsida,Cycadales,F,Anthrophyopsis,Anthrophyopsis leeana,108.388,31.163,-237,-201,104.4,40.18,7
120,Gymnospermae,Cycadopsida,Cycadales,F,Anthrophyopsis,Anthrophyopsis leeana,112.484,27.004,-237,-201,108.99,36.04,7
121,Gymnospermae,Cycadopsida,Cycadales,F,Anthrophyopsis,Anthrophyopsis leeana,113.491,27.649,-237,-201,110.1,36.69,7
122,Gymnospermae,Cycadopsida,Cycadales,F,Anthrophyopsis,Anthrophyopsis leeana,113.499,27.614,-237,-201,110.11,36.65,7
123,Gymnospermae,Cycadopsida,Cycadales,F,Anthrophyopsis,Anthrophyopsis leeana,113.961,27.63,-237,-201,110.62,36.67,7
124,Gymnospermae,Cycadopsida,Cycadales,F,Anthrophyopsis,Anthrophyopsis leeana,101.382,27.037,-237,-201,96.76,35.89,7
125,Gymnospermae,Cycadopsida,Cycadales,F,Anthrophyopsis,Anthrophyopsis leeana,101.901,25.158,-237,-201,97.42,34.03,7
126,Gymnospermae,Cycadopsida,Cycadales,F,Anthrophyopsis,Anthrophyopsis leeiana,114.989,27.117,-237,-201,111.75,36.15,6
127,Gymnospermae,Cycadopsida,Cycadales,F,Anthrophyopsis,Anthrophyopsis multinervis,105.84,32.438,-237,-201,101.5,41.41,6
128,Gymnospermae,Cycadopsida,Cycadales,F,Anthrophyopsis,Anthrophyopsis ripples,105.84,32.438,-237,-201,101.5,41.41,7
129,Gymnospermae,Cycadopsida,Cycadales,F,Anthrophyopsis,Anthrophyopsis tuberculata,113.048,25.215,-237,-201,109.61,34.25,7
130,Gymnospermae,Cycadopsida,Cycadales,F,Anthrophyopsis,Anthrophyopsis tuberculata,113.771,27.997,-237,-201,110.41,37.03,7
131,Gymnospermae,Cycadopsida,Cycadales,F,Anthrophyopsis,Anthrophyopsis tuberculata,113.866,27.619,-237,-201,110.51,36.66,7
132,Gymnospermae,Cycadopsida,Cycadales,F,Anthrophyopsis,Anthrophyopsis tuberculata,115.847,27.944,-237,-201,112.71,36.97,7
133,Gymnospermae,Cycadopsida,Cycadales,F,Anthrophyopsis,Anthrophyopsis tuberculata,117.318,29.155,-237,-201,114.36,38.16,7
134,Gymnospermae,Cycadopsida,Cycadales,F,Anthrophyopsis,Anthrophyopsis tuberculata,119.052,32.177,-237,-201,116.37,41.15,6
135,Gymnospermae,Cycadopsida,Cycadales,F,Anthrophyopsis,Anthrophyopsis venulosa,108.279,31.665,-237,-201,104.26,40.68,6
136,Gymnospermae,Cycadopsida,Cycadales,F,Anthrophyopsis,Anthrophyopsis venulosa,113.342,25.133,-237,-201,109.93,34.17,5
137,Gymnospermae,Cycadopsida,Cycadales,F,Anthrophyopsis,Anthrophyopsis venulosa,117.318,29.155,-237,-201,114.36,38.16,5
138,Gymnospermae,Cycadopsida,Cycadales,F,Anthrophyopsis,Anthrophyopsis venulosa,119.052,32.177,-237,-201,116.37,41.15,7
139,Gymnospermae,Cycadopsida,Cycadales,F,Anthrophyopsis,Anthrophyopsis venulosa,94.895,36.39,-237,-201,93.5,44.29,6
140,Gymnospermae,Cycadopsida,Cycadales,F,Anthrophyopsis,Anthrophyopsis venulosa,103.781,31.106,-237,-201,99.24,40.03,6
141,Gymnospermae,Cycadopsida,Cycadales,F,Anthrophyopsis,Anthrophyopsis pilophorus,106.659,32.286,-237,-201,102.43,41.27,6
142,Gymnospermae,Cycadopsida,Cycadales,F,Anthrophyopsis,Anthrophyopsis pilophorus,102.52,26.841,-237,-201,98.02,35.73,7
143,Gymnospermae,Cycadopsida,Cycadales,F,Aphlebi,Aphlebi dissimilis,111.836,31.324,-237,-201,108.26,40.36,7
144,Pteridophyta,Filicopsida,O,Dipteridaceae,Areolatophyllum,Areolatophyllum qinghaiense,96.448,35.829,-237,-201,88.79,44.84,7
145,Pteridophyta,Filicopsida,O,F,Asterothaca,Asterothaca szeiana,106.242,36.015,-237,-201,104,49.53,7
146,Pteridophyta,Filicopsida,O,F,Asterothaca,Asterothaca szeiana,109.016,35.353,-237,-201,107.06,48.32,6
147,Pteridophyta,Filicopsida,O,F,Asterothaca,Asterothaca szeiana,110.152,37.577,-237,-201,109.33,50.21,6
148,Pteridophyta,Filicopsida,O,F,Asterothaca,Asterothaca szeiana,98.318,39.729,-237,-201,95.52,54.61,6
149,Pteridophyta,Filicopsida,O,Asterothecaceae,Asterotheca,Asterotheca cf.cottoni,100.269,29.996,-237,-201,81.12,32.72,6
150,Pteridophyta,Filicopsida,O,Asterothecaceae,Asterotheca,Asterotheca cottoni,104.795,30.559,-237,-201,100.4,39.51,7
151,Pteridophyta,Filicopsida,O,Asterothecaceae,Asterotheca,Asterotheca cottoni,105.042,31.068,-237,-201,100.66,40.02,6
152,Pteridophyta,Filicopsida,O,Asterothecaceae,Asterotheca,Asterotheca cottoni,112.878,31.085,-237,-201,109.43,40.12,6
153,Pteridophyta,Filicopsida,O,Asterothecaceae,Asterotheca,Asterotheca cottoni,119.057,32.175,-237,-201,116.38,41.15,7
154,Pteridophyta,Filicopsida,O,Asterothecaceae,Asterotheca,Asterotheca cottoni,101.568,26.598,-237,-201,96.99,35.46,6
